ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
22,Louisiana,LA,22001,Acadia Parish,22001960101,Census Tract 9601.01; Acadia Parish; Louisiana,8.816506737014,3354,378,1255,277,1110,261,1135,410,45,78,268,130,619,353,299,216,500,190,735,203,396,155,102,73,71,100,1198,618,39,48,248,167,20,56,182,177,113,3,35.0,12.0,2.9,4.9,24.1,10.2,26.7,12.9,9.2,6.6,14.9,5.4,21.9,5.5,12.2,4.7,9.2,6.2,2.3,3.2,35.7,18.0,3.1,3.8,19.8,11.5,1.8,5.0,16.4,12.9,3.4,0.4,0.8215,0.2836,0.4925,0.9174,0.6356,3.1506,0.7018,0.419,0.5173,0.4672,0.7709,0.6196,2.794,0.6924,0.5302,0.5302,0.5302,0.4483,0.8929,0.5056,0.8667,0.8588,3.5723,0.9491,10.0471,0.8345,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3636,227,205,759,263,409,275,2,10,0,14,0,14,28,43,0,14,20.5,14.6,22.6,7.3,12.2,8.7,0.1,0.3,0.0,1.3,0.0,1.3,0.8,1.3,0.0,1.3
22,Louisiana,LA,22001,Acadia Parish,22001960102,Census Tract 9601.02; Acadia Parish; Louisiana,9.443575381316,2232,458,988,181,753,177,744,498,183,121,168,126,315,206,305,131,207,148,637,182,429,200,42,51,0,56,1380,566,0,19,286,148,60,70,27,42,0,14,34.2,21.7,15.6,9.7,22.3,15.9,22.0,12.6,13.7,5.6,9.3,6.2,28.5,6.4,19.2,8.3,5.6,6.6,0.0,2.7,61.8,22.0,0.0,1.9,28.9,11.8,8.0,9.1,3.6,5.6,0.0,0.6,0.8109,0.9631,0.431,0.8694,0.8046,3.879,0.8826,0.149,0.8584,0.8314,0.5491,0.0,2.3879,0.4426,0.7414,0.7414,0.7414,0.0,0.9452,0.8733,0.4096,0.0,2.2281,0.4767,9.2364,0.7369,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1782,105,82,854,403,512,382,0,14,0,14,0,14,14,25,0,14,13.9,10.8,38.3,15.9,22.9,16.4,0.0,2.0,0.0,2.0,0.0,2.0,0.6,1.1,0.0,2.0
22,Louisiana,LA,22001,Acadia Parish,22001960201,Census Tract 9602.01; Acadia Parish; Louisiana,70.639602608212,3064,432,1321,205,1105,182,439,208,31,47,131,91,267,129,83,72,543,162,790,186,609,223,147,140,0,56,305,587,0,19,216,113,6,19,27,35,0,14,14.3,6.5,2.3,3.7,11.9,8.0,12.9,6.3,2.7,2.4,17.7,5.9,25.8,4.3,19.9,7.3,13.4,12.5,0.0,1.9,10.0,19.1,0.0,1.4,16.4,8.7,0.5,1.7,2.4,3.1,0.0,0.5,0.3714,0.2063,0.0876,0.6773,0.1721,1.5147,0.2148,0.5735,0.7492,0.8531,0.8958,0.0,3.0716,0.8304,0.1616,0.1616,0.1616,0.0,0.8645,0.2792,0.2925,0.0,1.4362,0.1798,6.1841,0.2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,148,108,0,14,275,241,0,14,0,14,0,14,30,52,0,14,13.4,9.7,0.0,1.5,9.0,7.5,0.0,1.5,0.0,1.5,0.0,1.5,1.0,1.7,0.0,1.5
22,Louisiana,LA,22001,Acadia Parish,22001960202,Census Tract 9602.02; Acadia Parish; Louisiana,65.101248183856,2056,351,861,130,820,128,243,257,0,14,64,56,134,98,57,65,255,135,401,238,210,100,37,45,19,61,20,496,15,26,102,93,5,16,15,23,0,14,11.8,12.3,0.0,4.1,7.8,6.7,9.1,6.6,2.8,3.2,12.4,6.4,19.5,9.8,10.2,4.7,4.5,5.4,1.0,3.1,1.0,24.1,1.7,3.0,11.8,10.3,0.6,1.9,1.8,2.8,0.0,0.7,0.2904,0.0,0.0243,0.5272,0.1804,1.0223,0.0968,0.2841,0.365,0.3246,0.4495,0.4592,1.8824,0.171,0.004,0.004,0.004,0.3776,0.8159,0.2983,0.2287,0.0,1.7205,0.2702,4.6292,0.0874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141,53,44,20,32,0,14,0,14,0,14,0,14,0,14,0,14,6.5,5.4,1.0,1.6,0.0,2.2,0.0,2.2,0.0,2.2,0.0,2.2,0.0,2.2,0.0,2.2
22,Louisiana,LA,22001,Acadia Parish,22001960300,Census Tract 9603; Acadia Parish; Louisiana,90.197262351166,3392,611,1466,179,1211,173,601,250,72,63,188,117,518,175,124,80,412,107,805,284,567,221,22,31,0,56,19,860,0,19,300,100,23,22,39,37,36,5,17.7,6.6,3.9,3.5,15.5,9.4,22.4,8.0,3.7,2.4,12.1,3.3,23.7,6.5,16.7,6.0,1.8,2.5,0.0,1.7,0.6,25.4,0.0,1.3,20.5,7.3,1.9,1.8,3.2,3.2,1.1,0.2,0.473,0.4146,0.1859,0.8746,0.26,2.2081,0.416,0.2692,0.6323,0.7332,0.1709,0.0,1.8056,0.1424,0.0023,0.0023,0.0023,0.0,0.8981,0.5193,0.3734,0.7006,2.4914,0.593,6.5074,0.3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,239,134,7,18,0,14,0,14,0,14,0,14,12,25,0,14,19.7,9.9,0.2,0.5,0.0,1.3,0.0,1.3,0.0,1.3,0.0,1.3,0.4,0.7,0.0,1.3
22,Louisiana,LA,22001,Acadia Parish,22001960401,Census Tract 9604.01; Acadia Parish; Louisiana,41.5268531182,2455,357,956,161,890,120,555,256,22,43,189,113,502,178,78,79,271,133,525,165,593,195,79,90,0,56,256,574,0,19,167,107,7,19,0,14,88,18,23.2,10.1,1.7,3.3,21.2,12.4,27.4,8.8,3.3,3.5,11.0,5.4,21.4,5.0,24.7,6.8,8.9,10.0,0.0,2.4,10.4,23.3,0.0,2.0,17.5,10.8,0.8,2.1,0.0,4.9,3.6,0.5,0.615,0.135,0.3922,0.9227,0.2246,2.2895,0.4413,0.2172,0.4849,0.946,0.7577,0.0,2.4058,0.4539,0.1691,0.1691,0.1691,0.0,0.874,0.3391,0.0,0.866,2.0791,0.4113,6.9435,0.3861,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1646,175,76,171,122,0,14,37,43,0,14,0,14,8,13,40,47,19.7,8.7,7.0,5.3,0.0,1.8,1.5,1.8,0.0,1.8,0.0,1.8,0.3,0.6,1.6,2.0
22,Louisiana,LA,22001,Acadia Parish,22001960402,Census Tract 9604.02; Acadia Parish; Louisiana,21.54548388214,2175,532,913,141,761,149,630,368,35,26,131,67,179,115,211,159,194,58,706,307,312,113,70,63,14,59,237,729,81,61,191,93,25,27,66,38,5,2,29.0,15.4,3.9,2.7,17.2,8.1,14.6,8.3,9.8,6.2,8.9,3.1,32.5,8.4,14.4,4.3,9.2,8.1,0.7,2.9,10.9,33.4,8.8,6.5,20.9,9.6,3.3,3.5,8.7,5.1,0.2,0.1,0.7318,0.4146,0.2451,0.7272,0.6638,2.7825,0.5936,0.1345,0.9461,0.6099,0.7709,0.3984,2.8598,0.7283,0.1789,0.1789,0.1789,0.6161,0.9009,0.6683,0.7055,0.4424,3.3332,0.8989,9.1544,0.7261,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,2641,128,53,68,57,82,134,0,14,0,14,0,14,87,72,0,14,16.8,6.3,3.1,2.8,3.8,5.8,0.0,2.0,0.0,2.0,0.0,2.0,4.0,3.3,0.0,2.0
22,Louisiana,LA,22001,Acadia Parish,22001960403,Census Tract 9604.03; Acadia Parish; Louisiana,64.743876033676,2437,1002,1265,431,1016,443,385,203,148,129,220,127,149,102,208,274,320,201,531,328,189,127,84,92,0,56,38,1418,0,19,66,64,0,19,49,44,0,14,15.8,5.2,13.4,10.0,21.7,8.2,9.3,8.1,8.5,12.4,13.1,9.8,21.8,7.5,7.8,6.4,8.3,8.3,0.0,2.4,1.6,58.2,0.0,1.5,5.2,5.9,0.0,1.9,4.8,5.4,0.0,0.6,0.4175,0.9394,0.4095,0.5369,0.6008,2.9041,0.63,0.3205,0.5107,0.1642,0.7286,0.0,1.724,0.1179,0.0077,0.0077,0.0077,0.0,0.7098,0.0,0.5047,0.0,1.2145,0.1247,5.8503,0.2229,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,395,411,0,14,22,40,0,14,0,14,0,14,16,23,0,14,38.9,29.2,0.0,1.8,0.9,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.7,1.0,0.0,1.8
22,Louisiana,LA,22001,Acadia Parish,22001960501,Census Tract 9605.01; Acadia Parish; Louisiana,19.027488414878,2494,677,1047,226,964,234,746,497,153,127,22,33,237,124,285,183,745,219,499,254,906,535,70,77,83,97,62,949,0,19,226,87,11,22,11,20,13,16,29.9,18.2,14.6,10.7,2.3,3.4,12.6,7.8,11.4,7.0,29.9,5.6,20.0,8.7,36.3,15.7,7.3,7.8,3.5,4.0,2.5,38.0,0.0,1.8,21.6,8.8,1.1,2.3,1.1,2.1,0.5,0.6,0.7478,0.9538,0.0025,0.6676,0.73,3.1017,0.6877,0.9364,0.3968,0.9956,0.6716,0.703,3.7034,0.98,0.0164,0.0164,0.0164,0.0,0.9056,0.3967,0.149,0.5852,2.0365,0.3938,8.858,0.6856,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,1679,266,82,15,20,19,33,0,14,0,14,0,14,28,32,0,14,27.6,9.6,0.6,0.8,0.8,1.3,0.0,1.8,0.0,1.8,0.0,1.8,1.1,1.3,0.0,1.8
22,Louisiana,LA,22001,Acadia Parish,22001960502,Census Tract 9605.02; Acadia Parish; Louisiana,24.006201503804,2747,692,882,145,799,150,934,498,326,284,250,125,229,103,214,129,234,64,868,416,382,151,95,121,12,58,698,864,0,19,341,163,4,17,28,30,0,14,34.0,16.0,26.7,18.3,31.3,14.5,15.4,6.9,7.8,4.7,8.5,3.4,31.6,9.4,13.9,7.3,11.9,15.0,0.5,2.2,25.4,30.8,0.0,2.2,38.7,15.0,0.5,2.1,3.5,3.8,0.0,0.5,0.8084,0.9955,0.6946,0.749,0.5615,3.809,0.8679,0.1208,0.9319,0.5787,0.8622,0.3495,2.8431,0.7196,0.4088,0.4088,0.4088,0.0,0.9744,0.2792,0.401,0.0,1.6546,0.2471,8.7155,0.665,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,768,185,81,267,298,95,121,29,44,0,14,0,14,307,388,0,14,23.2,10.7,9.7,10.4,3.5,4.1,1.1,1.7,0.0,1.6,0.0,1.6,11.2,13.5,0.0,1.6
22,Louisiana,LA,22001,Acadia Parish,22001960503,Census Tract 9605.03; Acadia Parish; Louisiana,31.216277587742,1305,320,432,124,432,124,181,123,37,17,87,104,53,60,208,135,110,99,378,124,208,93,0,19,0,56,151,472,72,99,46,38,0,19,0,14,20,4,14.1,8.9,5.3,3.3,20.1,23.4,6.7,6.9,16.2,9.9,8.4,7.9,29.0,5.5,16.2,8.9,0.0,4.4,0.0,4.7,11.6,36.1,16.7,22.4,10.6,7.8,0.0,4.4,0.0,9.9,1.5,0.5,0.365,0.5746,0.351,0.3981,0.8627,2.5514,0.5221,0.1172,0.8736,0.7092,0.0,0.0,1.7,0.1114,0.1917,0.1917,0.1917,0.745,0.7999,0.0,0.0,0.7419,2.2868,0.5027,6.7299,0.3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,14,84,47,21,34,0,14,0,14,0,14,46,26,0,14,0.0,9.9,6.4,4.2,1.6,2.6,0.0,3.4,0.0,3.4,0.0,3.4,3.5,2.2,0.0,3.4
