STCOFIPS,PARISH,LATITUDE,LONGITUDE
22001,Acadia,30.2908,-92.4121
22003,Allen,30.6528,-92.8278
22005,Ascension,30.1954,-90.9100
22007,Assumption,29.9570,-91.0687
22009,Avoyelles,31.0762,-92.0009
22011,Beauregard,30.6494,-93.3414
22013,Bienville,32.3469,-93.0575
22015,Bossier,32.6780,-93.6014
22017,Caddo,32.5779,-93.8843
22019,Calcasieu,30.2295,-93.3578
22021,Caldwell,32.0912,-92.1151
22023,Cameron,29.8538,-93.3245
22025,Catahoula,31.6720,-91.8473
22027,Claiborne,32.7628,-92.9969
22029,Concordia,31.4444,-91.6621
22031,De Soto,32.0553,-93.7296
22033,East Baton Rouge,30.5388,-91.0928
22035,East Carroll,32.7312,-91.2313
22037,East Feliciana,30.8437,-91.0047
22039,Evangeline,30.7275,-92.4068
22041,Franklin,32.1319,-91.6756
22043,Grant,31.5872,-92.5588
22045,Iberia,29.9442,-91.7690
22047,Iberville,30.2576,-91.3498
22049,Jackson,32.3013,-92.5830
22051,Jefferson,29.8410,-90.1022
22053,Jefferson Davis,30.2644,-92.8133
22055,Lafayette,30.2063,-92.0640
22057,Lafourche,29.5019,-90.4070
22059,LaSalle,31.6769,-92.1608
22061,Lincoln,32.6011,-92.6655
22063,Livingston,30.4402,-90.7278
22065,Madison,32.3644,-91.2483
22067,Morehouse,32.7748,-91.7887
22069,Natchitoches,31.7250,-93.0968
22071,Orleans,29.9547,-90.0758
22073,Ouachita,32.4776,-92.1538
22075,Plaquemines,29.4536,-89.6982
22077,Pointe Coupee,30.7101,-91.5973
22079,Rapides,31.1908,-92.5298
22081,Red River,32.0937,-93.3391
22083,Richland,32.4179,-91.7640
22085,Sabine,31.5658,-93.5551
22087,St. Bernard,29.8538,-89.8296
22089,St. Charles,29.9083,-90.3556
22091,St. Helena,30.6598,-90.6847
22093,St. James,30.0171,-90.8000
22095,St. John the Baptist,30.0855,-90.4757
22097,St. Landry,30.5978,-91.9965
22099,St. Martin,30.1254,-91.6073
22101,St. Mary,29.6200,-91.4227
22103,St. Tammany,30.4058,-89.9530
22105,Tangipahoa,30.6266,-90.4067
22107,Tensas,32.0067,-91.3348
22109,Terrebonne,29.3468,-90.8386
22111,Union,32.8314,-92.3762
22113,Vermilion,29.8580,-92.2953
22115,Vernon,31.1085,-93.1841
22117,Washington,30.8150,-89.8792
22119,Webster,32.7094,-93.3320
22121,West Baton Rouge,30.4431,-91.3176
22123,West Carroll,32.7901,-91.4597
22125,West Feliciana,30.8760,-91.4214
22127,Winn,31.9444,-92.6365
